"NU_ANO_CENSO","CO_REDE","NO_REDE","CO_ORGAO_REGIONAL","NO_ORGAO_REGIONAL","CO_DISTRITO","NO_DISTRITO","TP_LOCAL","LOCALIZACAO","CO_ENTIDADE","NO_ENTIDADE","CO_CLASSIFICAÇÃO","NO_CLASSIFICAÇÃO","DS_ENDERECO","NU_ENDERECO","DS_COMPLEMENTO","NO_BAIRRO","GEO_REF_LATITUDE","GEO_REF_LONGITUDE","NU_DDD","NU_TELEFONE","TX_EMAIL",""
"2023","4","REDE PARTICULAR NÃO CONVENIADA","99","ESCOLA PARTICULAR","30","VICENTE PIRES","1","Urbana","53019199","C DE EDUC INF LUZ E VIDA","3","Prédio OSC - Gestão OSC","RUA 10B CHACARA 133/134","NULL","NULL","SETOR HABITACIONAL VICENTE PIRES","-15.791765","-48.022505","61","985268213","luzevida.oasis@gmail.com",""
"2023","3","REDE PARTICULAR CONVENIADA","8","CEILANDIA","9","CEILANDIA","1","Urbana","53019270","C DE EDUC INF PEQUENO PRINCIPE","3","Prédio OSC - Gestão OSC","QUADRA EQNP 5/9 MODULO G","NULL","NULL","CEILANDIA NORTE CEILANDIA","-15.817919","-48.127804","61","33741215","secretaria.ceipp@gmail.com",""
"2023","3","REDE PARTICULAR CONVENIADA","3","TAGUATINGA","3","TAGUATINGA","1","Urbana","53065000","C DE EDUC INF SONHO DE CRIANCA - CEISC","3","Prédio OSC - Gestão OSC","QUADRA QNG 27","NULL","AREA ESPECIAL 04","TAGUATINGA NORTE","-15.8016631","-48.0664171","61","33544797","lardacriancapadrecicero@gmail.com",""
"2023","3","REDE PARTICULAR CONVENIADA","17","PARANOA","7","PARANOA","1","Urbana","53017170","C DE EDUC INF TIA NAIR - UNIDADE I","3","Prédio OSC - Gestão OSC","QD 31 CJ C LT","10","NULL","PARANOA","-15.7619286","-47.7819815","61","33693175","tianairparanoase@gmail.com",""
"2023","3","REDE PARTICULAR CONVENIADA","2","GAMA","2","GAMA","1","Urbana","53018354","C DE EDUC INF TOCANDO O MUNDO","3","Prédio OSC - Gestão OSC","AE 19 LADO OESTE SETOR CENTRAL","19","NULL","GAMA","-16.01360904","-48.06852213","61","33844922","sectocandoomundo@gmail.com",""
"2023","3","REDE PARTICULAR CONVENIADA","17","PARANOA","7","PARANOA","1","Urbana","53017161","C DE EDUC SAO FILIPPO SMALDONE","3","Prédio OSC - Gestão OSC","QD 32 CJ F AE 1","1","NULL","PARANOA","-15.7616135","-47.7796321","61","32647922","cefis.paranoa@gmail.com",""
"2023","4","REDE PARTICULAR NÃO CONVENIADA","99","ESCOLA PARTICULAR","6","PLANALTINA","1","Urbana","53019580","C DE ENS EVOLUTION","3","Prédio OSC - Gestão OSC","QD H CJ H-3","NULL","NULL","VILA NOSSA SENHORA DE FATIMA PLANALTINA","-15.602611","-47.655018","61","33888238","centrodeensinoevolution@outlook.com",""
"2023","4","REDE PARTICULAR NÃO CONVENIADA","99","ESCOLA PARTICULAR","1","BRASILIA","1","Urbana","53019938","C EDUC CAMPANHIA DO SABER","3","Prédio OSC - Gestão OSC","QD 5 CJ 6 LT 11/12","NULL","NULL","SETOR OESTE VILA ESTRUTURAL","-15.777633","-47.999903","61","992246641","grupoeducacionaldla22@gmail.com",""
"2023","3","REDE PARTICULAR CONVENIADA","9","GUARA","25","SCIA","1","Urbana","53015649","C EDUC INF DIDASCALHO SAO JOSE OPERARIO","3","Prédio OSC - Gestão OSC","AREA ESPECIAL","22","NULL","SETOR CENTRAL VILA ESTRUTURAL - GUARA","-15.7824616","-47.9979859","61","34656676","secre1crechebrasil@prodein.org",""
"2023","4","REDE PARTICULAR NÃO CONVENIADA","99","ESCOLA PARTICULAR","14","SAO SEBASTIAO","1","Urbana","53019989","C EDUCACIONAL BABY CENTER ALEGRIA DO SABER","3","Prédio OSC - Gestão OSC","QD 1","SN","NULL","MORRO AZUL SAO SEBASTIAO","-15.896290","-47.783083","61","994606005","lu.f.a.duarte@gmail.com",""
"2023","4","REDE PARTICULAR NÃO CONVENIADA","99","ESCOLA PARTICULAR","13","SANTA MARIA","1","Urbana","53017358","C EDUCACIONAL CHIANCA","3","Prédio OSC - Gestão OSC","QUADRA AC 419 CONJUNTO G LOTES 19, 20 E 21","1920  E 21","NULL","SANTA MARIA","-16.0125309","-47.9841634","61","33956187","paulachianca@hotmail.com",""
"2023","4","REDE PARTICULAR NÃO CONVENIADA","99","ESCOLA PARTICULAR","2","GAMA","1","Urbana","53015118","C EDUCACIONAL DOCE INFANCIA","3","Prédio OSC - Gestão OSC","QUADRA 20","51","CASA","SETOR LESTE GAMA","-16.0220176","-48.0524526","61","35563461","cedi.direcao@gmail.com",""
"2023","4","REDE PARTICULAR NÃO CONVENIADA","99","ESCOLA PARTICULAR","2","GAMA","1","Urbana","53015096","C EDUCACIONAL DOCE INFANCIA SUL","3","Prédio OSC - Gestão OSC","QUADRA 03 CONJUNTO O LOTES 7 E 8 - SETOR SUL - GAMA","NULL","NULL","SETOR SUL","-16.0319782","-48.0659455","61","30457900","cedigamasul@gmail.com",""
"2023","4","REDE PARTICULAR NÃO CONVENIADA","99","ESCOLA PARTICULAR","13","SANTA MARIA","1","Urbana","53011830","C EDUCACIONAL EXPOENTE","3","Prédio OSC - Gestão OSC","QUADRA CL 307 CONJ. B A/E 02","2","SUL","SANTA MARIA","-16.029346","-48.025054","61","33932050","expoentedf@gmail.com",""
"2023","4","REDE PARTICULAR NÃO CONVENIADA","99","ESCOLA PARTICULAR","30","VICENTE PIRES","1","Urbana","53018630","C EDUCACIONAL TRANSFORMADOR KAIROS","3","Prédio OSC - Gestão OSC","RUA RUA 6 CHACARA 255 LT 1","NULL","NULL","SETOR HABITACIONAL VICENTE PIRES","-15.80875165","-48.04157297","61","32547555","secretaria.kairosdf@gmail.com",""
"2023","3","REDE PARTICULAR CONVENIADA","10","SAMAMBAIA","12","SAMAMBAIA","1","Urbana","53014839","C INTEGRADO DE EDUC INF NOSSA SENHORA MAE DOS HOMENS","3","Prédio OSC - Gestão OSC","QUADRA QR 419 AREA ESPECIAL 01","NULL","NULL","SAMAMBAIA NORTE SAMAMBAIA","-15.8830945","-48.1205904","61","33595522","secretariamaedoshomens@gmail.com",""
"2023","3","REDE PARTICULAR CONVENIADA","1","PLANO PILOTO","23","VARJAO","1","Urbana","53068254","C SOCIAL COMUNITARIO TIA ANGELINA","3","Prédio OSC - Gestão OSC","VILA VARJAO DO TORTO QUADRA 04, CONJUNTO E LOTE 04","CH 28","CHACARA 28","SETOR DE HABITACOES INDIVIDUAIS NORTE","-15.71193765","-47.877379","61","34682838","tiangelina.secretaria@gmail.com",""
"2023","3","REDE PARTICULAR CONVENIADA","8","CEILANDIA","9","CEILANDIA","1","Urbana","53068009","C SOCIAL LUTERANO CANTINHO DO GIRASSOL","3","Prédio OSC - Gestão OSC","QUADRA QNM 30 MODULOS B E C","NULL","NULL","CEILANDIA NORTE CEILANDIA","-15.80525361","-48.10374917","61","35814445","secretaria@cantinhodogirassol.com.br",""
"2023","2","REDE PÚBLICA ESTADUAL VINCULADA À SEEDF","15","SANTA MARIA","13","SANTA MARIA","1","Urbana","53009649","CAIC ALBERT SABIN","1","Prédio SEEDF - Gestão SEEDF","QUADRA EQ 304/307 MODULO E","1","LT 01","SANTA MARIA","-16.0305046","-48.0287107","61","39016606","caicasabin.santamaria@edu.se.df.gov.br",""
"2023","2","REDE PÚBLICA ESTADUAL VINCULADA À SEEDF","6","PLANALTINA","6","PLANALTINA","1","Urbana","53005953","CAIC ASSIS CHATEAUBRIAND","1","Prédio SEEDF - Gestão SEEDF","VIA NS 02 AREA ESPECIAL 4","NULL","NULL","SETOR RESIDENCIAL LESTE PLANALTINA","-15.618146","-47.6421751","61","39014356","caicassischateaubriand@gmail.com",""
"2023","2","REDE PÚBLICA ESTADUAL VINCULADA À SEEDF","10","SAMAMBAIA","12","SAMAMBAIA","1","Urbana","53008944","CAIC AYRTON SENNA","1","Prédio SEEDF - Gestão SEEDF","QUADRA QR 117","NULL","AREA URBANA","SAMAMBAIA SUL","-15.889647","-48.111967","61","39017742","caicasdesamambaia@gmail.com",""
"2023","2","REDE PÚBLICA ESTADUAL VINCULADA À SEEDF","8","CEILANDIA","9","CEILANDIA","1","Urbana","53007255","CAIC BERNARDO SAYAO","1","Prédio SEEDF - Gestão SEEDF","QUADRA QNN 28 MODULO 1 LTS","H,I,J,K","NULL","CEILANDIA SUL CEILANDIA","-15.8321475","-48.1145794","61","NULL","caicbs@creceilandia.com",""
"2023","2","REDE PÚBLICA ESTADUAL VINCULADA À SEEDF","2","GAMA","2","GAMA","1","Urbana","53002458","CAIC CARLOS CASTELLO BRANCO","1","Prédio SEEDF - Gestão SEEDF","SETOR SMA CONJUNTO C","16,17,18","PREDIO LOBAO FERRAGE","GAMA","-15.99411","-48.05669","61","974034261","secretariacaicgama@edu.se.df.gov.br",""
"2023","2","REDE PÚBLICA ESTADUAL VINCULADA À SEEDF","10","SAMAMBAIA","12","SAMAMBAIA","1","Urbana","53008952","CAIC HELENA REIS","1","Prédio SEEDF - Gestão SEEDF","QUADRA QR 409","1","AREA ESPECIAL 01","SAMAMBAIA NORTE SAMAMBAIA","-15.8776798","-48.1043655","61","39017748","caichr.secretaria@edu.se.df.gov.br",""
"2023","2","REDE PÚBLICA ESTADUAL VINCULADA À SEEDF","5","SOBRADINHO","26","SOBRADINHO II","1","Urbana","53005309","CAIC JULIA KUBITSCHEK DE OLIVEIRA","1","Prédio SEEDF - Gestão SEEDF","CONJUNTO AR 13 CONJUNTO 03","1","AREA 01","SETOR OESTE SOBRADINHO II","-15.6431441","-47.8232111","61","39017969","caicjk.sob@gmail.com",""
"2023","2","REDE PÚBLICA ESTADUAL VINCULADA À SEEDF","7","NUCLEO BANDEIRANTE","24","PARK WAY","1","Urbana","53007034","CAIC JUSCELINO KUBITSCHEK","1","Prédio SEEDF - Gestão SEEDF","SMPW QUADRA 6 CONJUNTO 1","NULL","AE 02","SETOR DE MANSOES PARK WAY","-15.8773717","-47.9626655","61","39014349","caicjk.nb@edu.se.df.gov.br",""
"2023","2","REDE PÚBLICA ESTADUAL VINCULADA À SEEDF","8","CEILANDIA","9","CEILANDIA","1","Urbana","53007263","CAIC PROF ANISIO TEIXEIRA","1","Prédio SEEDF - Gestão SEEDF","QUADRA QNO 10","NULL","AREA ESPECIAL A","CEILANDIA NORTE CEILANDIA","-15.7979358","-48.1301671","61","39016855","caicanisioteixeira@gmail.com",""
"2023","2","REDE PÚBLICA ESTADUAL VINCULADA À SEEDF","4","BRAZLANDIA","4","BRAZLANDIA","1","Urbana","53004973","CAIC PROF BENEDITO CARLOS DE OLIVEIRA","1","Prédio SEEDF - Gestão SEEDF","AREA ESPECIAL 5","NULL","NULL","SETOR TRADICIONAL BRAZLANDIA","-15.6773363","-48.2030828","61","39013682","caicbco@gmail.com",""
"2023","2","REDE PÚBLICA ESTADUAL VINCULADA À SEEDF","15","SANTA MARIA","13","SANTA MARIA","1","Urbana","53009657","CAIC SANTA MARIA","1","Prédio SEEDF - Gestão SEEDF","QUADRA EQ 215/315 BLOCO B","SN","NULL","SANTA MARIA","-16.008469","-47.9969282","61","39016596","caic.santamaria@edu.se.df.gov.br",""
"2023","2","REDE PÚBLICA ESTADUAL VINCULADA À SEEDF","17","PARANOA","7","PARANOA","1","Urbana","53006712","CAIC SANTA PAULINA","1","Prédio SEEDF - Gestão SEEDF","QUADRA 5 AREA ESPECIAL","SEM NUMERO","NULL","PARANOA","-15.77829184","-47.78439516","61","39017568","caicsantapaulina.paranoa@edu.se.df.gov.br",""
"2023","2","REDE PÚBLICA ESTADUAL VINCULADA À SEEDF","18","SAO SEBASTIAO","14","SAO SEBASTIAO","1","Urbana","53009720","CAIC UNESCO","1","Prédio SEEDF - Gestão SEEDF","RUA DO CAIC","S/N","AREA ESPECIAL","CENTRO SAO SEBASTIAO","-15.9019166","-47.7738424","61","39017701","caicunesco@gmail.com",""
"2023","3","REDE PARTICULAR CONVENIADA","1","PLANO PILOTO","1","BRASILIA","1","Urbana","53000811","CASA DA CRIANCA PAO DE SANTO ANTONIO","3","Prédio OSC - Gestão OSC","QUADRA SGAS 906 CONJUNTO C","NULL","NULL","ASA SUL","-15.8055676","-47.9050098","61","32422337","crisantoantonio62@gmail.com.br",""
"2023","3","REDE PARTICULAR CONVENIADA","1","PLANO PILOTO","16","LAGO SUL","1","Urbana","53009975","CASA DO PEQUENO POLEGAR","3","Prédio OSC - Gestão OSC","QUADRA SHIS QI 5 CHACARAS 92 A 99","96","LAGO SUL DF","SETOR DE HABITACOES INDIVIDUAIS SUL","-15.84980833","-47.88979","61","32481217","casappolegar@gmail.com",""
"2023","2","REDE PÚBLICA ESTADUAL VINCULADA À SEEDF","2","GAMA","2","GAMA","2","Rural","53009380","CED CASA GRANDE","1","Prédio SEEDF - Gestão SEEDF","NUCLEO RURAL CASA GRANDE MODULO AGRICOLA 16 CHACARA","1","NULL","NUCLEO RURAL CASA GRANDE","-15.96401333","-48.09920777","61","39018328","cedcasagrande.gama@edu.se.df.gov.br",""
"2023","2","REDE PÚBLICA ESTADUAL VINCULADA À SEEDF","2","GAMA","2","GAMA","2","Rural","53003047","CED ENGENHO DAS LAJES","1","Prédio SEEDF - Gestão SEEDF","RUA HILARIO RIBEIRO","NULL","BR 060 KM 30","ENGENHO DAS LAGES GAMA","-16.0419382","-48.2570815","61","39018336","cedelajes.gama@edu.se.df.gov.br",""
"2023","2","REDE PÚBLICA ESTADUAL VINCULADA À SEEDF","8","CEILANDIA","9","CEILANDIA","2","Rural","53008146","CED INCRA 09","1","Prédio SEEDF - Gestão SEEDF","NR A GUSMAO BR 070 KM 16 GL. 03 INCRA 09","NULL","BR 070 KM 16 GL 03","INCRA 09","-15.78412","-48.19374","61","39018229","cedi09@creceilandia.com",""
"2023","4","REDE PARTICULAR NÃO CONVENIADA","99","ESCOLA PARTICULAR","9","CEILANDIA","1","Urbana","53015363","CED INTERAGINDO","3","Prédio OSC - Gestão OSC","QUADRA QNR 4 CONJUNTO I","16","NULL","CEILANDIA NORTE CEILANDIA","-15.801796","-48.161014","61","33719983","escolacein@gmail.com",""
"2023","2","REDE PÚBLICA ESTADUAL VINCULADA À SEEDF","6","PLANALTINA","6","PLANALTINA","2","Rural","53005988","CED PIPIRIPAU II","1","Prédio SEEDF - Gestão SEEDF","CAIXA POSTAL COMUNITARIA RODOVIA DF-205 KM 03 ACESSO P/ROD.DF-345 BSB S JOAO DALIANCA","SEM NUMERO","NR PIPIRIPAU II","PLANALTINA-DF","-15.600974","-47.6501325","61","996432303","53005988@edu.se.df.gov.br",""
"2023","2","REDE PÚBLICA ESTADUAL VINCULADA À SEEDF","6","PLANALTINA","6","PLANALTINA","2","Rural","53006046","CED TAQUARA","1","Prédio SEEDF - Gestão SEEDF","CAIXA POSTAL COMUNITARIA RODOVIA DF-410 KM 08 ACESSO PELA BR-020 A 10 KM DE PLANALTINA","S/N","NUCLEO RURAL TAQUARA","AGROVILA TAQUARA","-15.6337783","-47.5222325","61","39018022","cedtaquara@gmail.com",""
"2023","2","REDE PÚBLICA ESTADUAL VINCULADA À SEEDF","7","NUCLEO BANDEIRANTE","24","PARK WAY","1","Urbana","53009460","CED VARGEM BONITA","1","Prédio SEEDF - Gestão SEEDF","NUCLEO HORTICULA VARGEM BONITA","S/N","VARGEM BONITA","VARGEM BONITA","-15.9344132","-47.9407657","61","39014353","cedvargembonita.nb@edu.se.df.gov.br",""
"2023","2","REDE PÚBLICA ESTADUAL VINCULADA À SEEDF","6","PLANALTINA","6","PLANALTINA","2","Rural","53006054","CED VARZEAS","1","Prédio SEEDF - Gestão SEEDF","NUCLEO RURAL TABATINGA","NULL","DF120/DF455","PLANALTINA","-15.82102928","-47.57049811","61","NULL","cedvarzeas@gmail.com",""
"2023","2","REDE PÚBLICA ESTADUAL VINCULADA À SEEDF","1","PLANO PILOTO","1","BRASILIA","1","Urbana","53000854","CEF 01 DO PLANALTO","1","Prédio SEEDF - Gestão SEEDF","AVENIDA PACHECO FERNANDES","NULL","S/N","VILA PLANALTO","-15.8282444","-47.924538","61","39018207","53000854@edu.se.df.gov.br",""
"2023","2","REDE PÚBLICA ESTADUAL VINCULADA À SEEDF","9","GUARA","25","SCIA","1","Urbana","53068157","CEF 02 DA ESTRUTURAL","1","Prédio SEEDF - Gestão SEEDF","VILA ESTRUTURAL","NULL","QD 02 A/E CJ. 1/2","VILA ESTRUTURAL","-15.7861428","-47.989404","61","39017981","cef02ce.guara@edu.se.df.gov.br",""
"2023","2","REDE PÚBLICA ESTADUAL VINCULADA À SEEDF","19","RECANTO DAS EMAS","15","RECANTO DAS EMAS","1","Urbana","53009363","CEF 115 DO RECANTO DAS EMAS","1","Prédio SEEDF - Gestão SEEDF","QUADRA QUADRA 115 AREA ESPECIAL","NULL","CONJUNTO 7C","RECANTO DAS EMAS","-15.9255088","-48.1075794","61","39017753","cef115.drerec@gmail.com",""
"2023","2","REDE PÚBLICA ESTADUAL VINCULADA À SEEDF","8","CEILANDIA","9","CEILANDIA","1","Urbana","53011589","CEF 30 DE CEILANDIA","1","Prédio SEEDF - Gestão SEEDF","RUA RUA 1- AREA ESPECIAL FRENTE-MODULO 7","S/N","CONDOMINIO PRIVE","CONDOMINIO PRIVE LUCENA RORIZ CEILANDIA","-15.7859205","-48.1379643","61","39013162","cef30@creceilandia.com",""
"2023","2","REDE PÚBLICA ESTADUAL VINCULADA À SEEDF","8","CEILANDIA","32","SOL NASCENTE / POR DO SOL","1","Urbana","53068149","CEF 32 DE CEILANDIA","1","Prédio SEEDF - Gestão SEEDF","SHPS EQ 500/700 SETOR HABITACIONAL POR DO SOL","S/N","CEILANDIA","SETOR HABITACIONAL POR DO SOL - CEILANDIA SUL","-15.8577273","-48.1237837","61","39013364","cef32@creceilandia.com",""
"2023","2","REDE PÚBLICA ESTADUAL VINCULADA À SEEDF","15","SANTA MARIA","13","SANTA MARIA","1","Urbana","53009878","CEF 403 DE SANTA MARIA","1","Prédio SEEDF - Gestão SEEDF","QUADRA QR 403","0","LOTE A AREA ESPECIAL","SANTA MARIA SUL","-16.0378062","-48.0265671","61","39016624","53009878@edu.se.df.gov.br",""
"2023","2","REDE PÚBLICA ESTADUAL VINCULADA À SEEDF","15","SANTA MARIA","13","SANTA MARIA","1","Urbana","53014294","CEF 418 DE SANTA MARIA","1","Prédio SEEDF - Gestão SEEDF","ENTRE QUADRA 417-517 MODULO J","AE","AREA ESPECIAL","SANTA MARIA","-16.0140337","-47.9861905","61","39016610","53014294@se.df.gov.br",""
"2023","2","REDE PÚBLICA ESTADUAL VINCULADA À SEEDF","6","PLANALTINA","6","PLANALTINA","2","Rural","53006364","CEF CERAMICAS REUNIDAS DOM BOSCO","1","Prédio SEEDF - Gestão SEEDF","CAIXA POSTAL COMUNITARIA RODOVIA DF-205 KM 03 ACESSO P/ROD.DF-345 BSB S JOAO DALIANCA","NULL","NULL","PLANALTINA","-15.5731203","-47.3858488","61","35062040","cefceramicas2015@gmail.com",""
"2023","2","REDE PÚBLICA ESTADUAL VINCULADA À SEEDF","4","BRAZLANDIA","4","BRAZLANDIA","2","Rural","53005198","CEF INCRA 07","1","Prédio SEEDF - Gestão SEEDF","NUCLEO RURAL INCRA 7","82","RESERVA G GLEBA 03","BRAZLANDIA","-15.748904","-48.1149725","61","39016631","ecincra07@edu.se.df.gov.br",""
"2023","2","REDE PÚBLICA ESTADUAL VINCULADA À SEEDF","17","PARANOA","7","PARANOA","2","Rural","53006860","CEF JARDIM II","1","Prédio SEEDF - Gestão SEEDF","BR-251 - DF-285 KM 23 - NUCLEO RURAL DO JARDIM","S/N","NULL","ZONA RURAL","-16.0169197","-47.3804884","61","984356456","cefjardim.paranoa@edu.se.df.gov.br",""
"2023","2","REDE PÚBLICA ESTADUAL VINCULADA À SEEDF","6","PLANALTINA","6","PLANALTINA","1","Urbana","53005970","CEF JUSCELINO KUBITSCHEK","1","Prédio SEEDF - Gestão SEEDF","MODULO 7","17 A 26","MESTRE DARMAS","CONDOMINIO MESTRE DARMAS PLANALTINA","-15.6011617","-47.6880214","61","39018240","cefjk2015@gmail.com",""
"2023","2","REDE PÚBLICA ESTADUAL VINCULADA À SEEDF","18","SAO SEBASTIAO","14","SAO SEBASTIAO","2","Rural","53009746","CEF NOVA BETANIA","1","Prédio SEEDF - Gestão SEEDF","CAIXA POSTAL COMUNITARIA RODOVIA BR-251 - KM 69","NULL","NR NOVA BETANIA","SAO SEBASTIAO","-15.9499421","-47.7931429","61","35062047","cefnovabetania@gmail.com",""
"2023","2","REDE PÚBLICA ESTADUAL VINCULADA À SEEDF","2","GAMA","2","GAMA","2","Rural","53002466","CEF PONTE ALTA DO BAIXO","1","Prédio SEEDF - Gestão SEEDF","NUCLEO RURAL PONTE ALTA DO BAIXO BR 290 ALTURA KM 14","NULL","N.R.PONTE ALTA DO BA","PONTE ALTA GAMA","-16.0252782","-48.1313433","61","35062080","cefpab.cregama@gmail.com",""
"2023","2","REDE PÚBLICA ESTADUAL VINCULADA À SEEDF","2","GAMA","2","GAMA","2","Rural","53003063","CEF PONTE ALTA NORTE","1","Prédio SEEDF - Gestão SEEDF","AVENIDA PONTE ALTA NORTE","NULL","BR 475 KM 05","PONTE ALTA GAMA","-15.98078278","-48.0722566","61","984517362","cefpanorte.gama@edu.se.df.gov.br",""
"2023","2","REDE PÚBLICA ESTADUAL VINCULADA À SEEDF","6","PLANALTINA","6","PLANALTINA","2","Rural","53006020","CEF RIO PRETO","1","Prédio SEEDF - Gestão SEEDF","NUCLEO RURAL RIO PRETO","NULL","DF-320 KM-10","PLANALTINA","-15.7632847","-47.4929167","61","984629440","cefriopreto2015@gmail.com",""
"2023","2","REDE PÚBLICA ESTADUAL VINCULADA À SEEDF","6","PLANALTINA","6","PLANALTINA","2","Rural","53006038","CEF SAO JOSE","1","Prédio SEEDF - Gestão SEEDF","SETOR ADMINISTRATIVO NUCLEO RURAL SAO JOSE","SN","PLANALTINA DF 250","SETOR ADMINISTRATIVO PLANALTINA","-15.7038426","-47.37368365","61","996338449","cefsaojose2015@gmail.com",""
"2023","2","REDE PÚBLICA ESTADUAL VINCULADA À SEEDF","15","SANTA MARIA","13","SANTA MARIA","2","Rural","53009711","CEF SARGENTO LIMA","1","Prédio SEEDF - Gestão SEEDF","CONJUNTO S QUADRA 6","S/N","NULL","AREA ALFA SANTA MARIA-DF","-15.9810457","-47.9748276","61","39014565","53009711@se.df.gov.br",""
"2023","2","REDE PÚBLICA ESTADUAL VINCULADA À SEEDF","2","GAMA","15","RECANTO DAS EMAS","2","Rural","53009347","CEF TAMANDUA","1","Prédio SEEDF - Gestão SEEDF","AREA RURAL PONTE ALTA","NULL","RODOVIA DF 180 KM 27","AREA RURAL DO GAMA","-15.9393666","-48.1433138","61","NULL","ceftamandua.gama@edu.se.df.gov.br",""
"2023","2","REDE PÚBLICA ESTADUAL VINCULADA À SEEDF","9","GUARA","25","SCIA","1","Urbana","53015339","CEI 01 DA ESTRUTURAL","1","Prédio SEEDF - Gestão SEEDF","QUADRA QUADRA 3 AREA ESPECIAL 1","1","AREA ESPECIAL","SETOR NORTE VILA ESTRUTURAL - GUARA","-15.7790348","-47.9942879","61","34657061","cei01ce.guara@edu.se.df.gov.br",""
